news,date
PM Shah Meet to Discuss Caretaker Setup,1 year ago
Court was Asked to Convict me within 6 Months: Nawaz,1 year ago
CJP Berates Health Education Secretaries of Balochistan,1 year ago
NAB Moves SC Against Safdar’s Bail in Corruption Case,1 year ago
Shehbaz Rushes to Stop Defections Meets MPs from South Punjab,1 year ago
SSP Torture Case: ATC Reserves Verdict on Imran Plea for Acquittal,1 year ago
Three Injured in Quetta Blast,1 year ago
Ch Nisar has No Political Future: Dr Asim,1 year ago
Defectors have no Background of PML-N: Nawaz,1 year ago
Petition Against NADRA Chief: LHC Seeks Arguments on Maintainability,1 year ago
Assets Beyond Means: NAB Launches Inquiry Against Fawad,1 year ago
PTI CEC to Meet in Islamabad on April 12,1 year ago
2018 Elections: Imran to Challenge Saad Rafique in NA-129 Lahore,1 year ago
State of Kohistan Schools Belies KP Govt’s Claims,1 year ago
PR Cuts Green Line Train Fares by 10pc,1 year ago
Another MQM-P MPA to Join PSP Today,1 year ago
3-day Anti-polio Drive Starts in KP from Today,1 year ago
Rampant Cheating in SSC Exams Continues Unabated in Sindh,1 year ago
High Treason Case: CJP Reconstitutes Special Court,1 year ago
PML-N Top Brass to Huddle at Jati Umrah Today,1 year ago
WCCI’s  ‘Laurels of Honour’ Conferred on Sultana Siddqui,1 year ago
Pakistan Observing Kashmir Solidarity Day Today,1 year ago
Contempt Case: Talal’s Statement to be Recorded on 30th,1 year ago
PM Abbasi to Leave for Kabul on Day-long Visit Today,1 year ago
SC Dismisses Petition Challenging Justice Faez Isa’s Appointment,1 year ago
Constituencies in Kasur: ECP Accepts Objections on Delimitation,1 year ago
LHC Seeks Details of Measures Taken for Pemra Chief Appointment,1 year ago
Reference Against Dar: Accountability Court Indicts Co-accused,1 year ago
Afridi’s Tweet on Kashmir Massacre Enrages Indian Biggies,1 year ago
Reference Filed in SJC Against CJ Saqib Nisar,1 year ago
Pakistan to Launch 2 Remote Sensing Satellites,1 year ago
ECP to Continue Updating Voters’ Lists till 24th,1 year ago
Bengalis Replace Pakistani Labourers in Saudi Arabia,1 year ago
Meera’s Marriage Case: Counsel Completes Cross-examination of Nikahkhwan,1 year ago
Bilawal Summons PPP’s CEC Meeting Today,1 year ago
War on Terror Cost Pakistan $127bn Moot Told,1 year ago
LHC Rejects Ahad Cheema’s Petition Against Arrest,1 year ago
Rs5.76bn Corruption Case Against Sharjeel Others: Court Adjourns Hearing,1 year ago
LHC Rejects Petition Seeking Shehbaz Disqualification,1 year ago
ECP Adjourns Hearing of Plea for Cancellation of PML-N Registration,1 year ago
Maleeha Condemns Brutal Killing of Kashmiri Youths,1 year ago
